date,district,MAM_admissions,SAM_admissions
2019-05-01,Belet Weyne,1391.0,1019.0
2019-06-01,Belet Weyne,1348.0,583.0
2019-07-01,Belet Weyne,1459.0,1033.0
2019-08-01,Belet Weyne,3658.0,833.0
2019-09-01,Belet Weyne,2938.0,1212.0
2019-10-01,Belet Weyne,4702.0,1918.0
2019-11-01,Belet Weyne,1873.0,1633.0
2019-12-01,Belet Weyne,2644.0,1827.0
2020-01-01,Belet Weyne,1003.0,1178.0
2020-02-01,Belet Weyne,1486.0,1405.0
2020-03-01,Belet Weyne,3891.0,1294.0
2020-04-01,Belet Weyne,3364.0,1461.0
2020-05-01,Belet Weyne,2663.0,1542.0
2020-06-01,Belet Weyne,2789.0,1268.0
2020-07-01,Belet Weyne,4425.0,947.0
2020-08-01,Belet Weyne,1645.0,912.0
2020-09-01,Belet Weyne,1268.0,685.0
2020-10-01,Belet Weyne,2068.0,1149.0
2020-11-01,Belet Weyne,1500.0,1055.0
2020-12-01,Belet Weyne,2053.0,592.0
2021-01-01,Belet Weyne,1732.0,324.0
2021-02-01,Belet Weyne,1364.0,389.0
2021-03-01,Belet Weyne,2363.0,413.0
2021-04-01,Belet Weyne,1740.0,767.0
2021-05-01,Belet Weyne,1438.0,1088.0
2021-06-01,Belet Weyne,2267.0,742.0
2021-07-01,Belet Weyne,2872.0,868.0
2021-08-01,Belet Weyne,2907.0,505.0
2021-09-01,Belet Weyne,2606.0,1188.0
2021-10-01,Belet Weyne,2971.0,1655.0
2021-11-01,Belet Weyne,2815.0,896.0
2019-01-01,Belet Xaawo,0.0,93.0
2019-02-01,Belet Xaawo,978.0,460.0
2019-03-01,Belet Xaawo,381.0,71.0
2019-04-01,Belet Xaawo,163.0,111.0
2019-05-01,Belet Xaawo,206.0,160.0
2019-06-01,Belet Xaawo,691.0,635.0
2019-07-01,Belet Xaawo,753.0,361.0
2019-08-01,Belet Xaawo,602.0,294.0
2019-09-01,Belet Xaawo,599.0,323.0
2019-10-01,Belet Xaawo,697.0,327.0
2019-11-01,Belet Xaawo,1223.0,503.0
2019-12-01,Belet Xaawo,1113.0,491.0
2020-01-01,Belet Xaawo,923.0,482.0
2020-02-01,Belet Xaawo,603.0,400.0
2020-03-01,Belet Xaawo,626.0,527.0
2020-04-01,Belet Xaawo,759.0,315.0
2020-05-01,Belet Xaawo,597.0,464.0
2020-06-01,Belet Xaawo,710.0,514.0
2020-07-01,Belet Xaawo,737.0,450.0
2020-08-01,Belet Xaawo,320.0,167.0
2020-09-01,Belet Xaawo,357.0,172.0
2020-10-01,Belet Xaawo,411.0,685.0
2020-11-01,Belet Xaawo,367.0,272.0
2020-12-01,Belet Xaawo,407.0,294.0
2021-01-01,Belet Xaawo,412.0,345.0
2021-02-01,Belet Xaawo,702.0,495.0
2021-03-01,Belet Xaawo,579.0,601.0
2021-04-01,Belet Xaawo,736.0,282.0
2021-05-01,Belet Xaawo,569.0,454.0
2021-06-01,Belet Xaawo,511.0,427.0
2021-07-01,Belet Xaawo,521.0,284.0
2021-08-01,Belet Xaawo,687.0,400.0
2021-09-01,Belet Xaawo,677.0,341.0
2021-10-01,Belet Xaawo,501.0,538.0
2021-11-01,Belet Xaawo,917.0,674.0
2019-01-01,Baraawe,331.0,80.0
2019-02-01,Baraawe,806.0,0.0
2019-03-01,Baraawe,183.0,31.0
2019-04-01,Baraawe,245.0,48.0
2019-05-01,Baraawe,433.0,112.0
2019-06-01,Baraawe,1145.0,349.0
2019-07-01,Baraawe,167.0,60.0
2019-08-01,Baraawe,656.0,205.0
2019-09-01,Baraawe,290.0,1157.0
2019-10-01,Baraawe,308.0,89.0
2019-11-01,Baraawe,469.0,119.0
2019-12-01,Baraawe,232.0,163.0
2020-01-01,Baraawe,298.0,114.0
2020-02-01,Baraawe,247.0,109.0
2020-03-01,Baraawe,65.0,97.0
2020-04-01,Baraawe,239.0,67.0
2020-05-01,Baraawe,136.0,64.0
2020-06-01,Baraawe,107.0,72.0
2020-07-01,Baraawe,59.0,76.0
2020-08-01,Baraawe,11.0,84.0
2020-09-01,Baraawe,417.0,101.0
2020-10-01,Baraawe,659.0,103.0
2020-11-01,Baraawe,489.0,94.0
